0,1,2
"Many healthy adults have a slightly leaky tricuspid valve. This may be discovered incidentally, usually causes no problems, and does not require treatment or follow-up.",How is a leaky tricuspid valve diagnosed?,Heart Health
Causes of a leaky mitral valve include:,What causes a leaky mitral valve?,Heart Health
"Frequently, a leaky heart valve causes no symptoms.",What are the symptoms of a leaky heart valve?,Heart Health
The risk of both low and high blood pressure normally increases with age due in part to normal changes during aging.,When are you most likely to get low and high blood pressure?,Heart Health
�Loss of blood from bleeding,What can cause sudden drops in blood pressure?,Heart Health
"Postural hypotension is considered a failure of the cardiovascular system or nervous system to react appropriately to sudden changes. Normally, when you stand up, some blood pools in your lower extremities. Your body normally compensates by sending messages to your heart to beat faster and to your blood vessels to constrict. If this does not happen, or happens too slowly, postural hypotension results and can lead to fainting.",What is postural hypotension?,Heart Health
"�Drugs used to treat high blood pressure, such as diuretics, beta-blockers, calcium-channel blockers, and angiotensin-converting enzyme (ACE) inhibitors",Which drugs can cause postural hypotension?,Heart Health
The cause of low blood pressure isn't always clear. It may be because:,What causes low blood pressure?,Heart Health
Hypotension after meals is a common cause of dizziness and falls after eating. This is most common after large meals containing a lot of carbohydrates. It’s believed to be caused by blood pooling into the vessels of the stomach and intestines.,How can hypotension happen?,Heart Health
"Histamine 2 blockers (also called H2 blockers) target a substance called histamine. The result is that your stomach makes less acid, which cuts down on heartburn.",What are types of histamine 2 (H2) blockers used to lessen heartburn?,Heartburn/GERD
"The answer depends on whether you're about to try an over-the-counter antacid or a long-term prescription drug. Each heartburn treatment works differently, but in general:",How long does it take for heartburn treatment to work?,Heartburn/GERD
"Antacids, such as Alka-Seltzer, Maalox, Mylanta, Rolaids, or Riopan, can neutralize the acid from your stomach. However, they may cause diarrhea or constipation, especially if you overuse them.",Can over-the-counter medications help my acid reflux?,Heartburn/GERD
"Your doctor can diagnose LPR with a combination of a medical history, physical exam, and one or more tests. Tests may include:",How is laryngopharyngeal reflux (LPR) diagnosed?,Heartburn/GERD
You may also need to take one or more types of medicine such as:,What medications might be used to treat laryngopharyngeal reflux (LPR)?,Heartburn/GERD
"Barrett's esophagus is a serious complication of GERD (gastroesophageal reflux disease). In Barrett's esophagus, normal tissue lining the esophagus changes to tissue that resembles the lining of the intestine. About 10% of people with chronic symptoms of GERD develop Barrett's esophagus. People with Barrett's esophagus are more likely to get esophageal adenocarcinoma, which is a rare cancer of the esophagus. But even in them, that cancer isn't common.",What is Barrett's esophagus?,Heartburn/GERD
Smoking may:,Why does smoking cause acid reflux?,Heartburn/GERD
"It may sound strange, but gum stimulates the production of saliva, which is an acid buffer. Plus, chewing gum makes you swallow more often, which pushes acids back out of your esophagus.",Is chewing gum an effective way to get heartburn relief?,Heartburn/GERD
"Certain foods can relax your lower esophageal sphincter (LES) or increase stomach acid, including:",What foods can affect your lower esophageal sphincter (LES) leading to heartburn?,Heartburn/GERD
"A hernia is the pressing of an organ through an opening in the muscle wall of the cavity that protects it. With a hiatal hernia, part of the stomach pushes through the hole where the esophagus and the stomach join.",What is a hiatal hernia?,Heartburn/GERD
